Date,Title,Review
"April 08, 2022",New to the brand,"I bought this for severe dehydration under my eyes as I live in the desert and had a procedure done back in dec. This is an unscented, rich, facial moisturizer that i am really enjoying and feel is actually helping. I have told my family about this brand."
"April 04, 2022",Holy Grail!,"Dermatologist recommended! A virtual dupe for some of the expensive moisturizers. Works great for my dry, mature skin."
"March 29, 2022",Nice,Feels like a cheaper brand… can’t tell any difference.. so I don’t bother to repurchase this I have the other brand in much better price…
"March 28, 2022",Great moisturizer!,"This moisturizer has made a world of difference in my skin, I've noticed less redness and my face feels moisturized without a greasy residue."
"March 24, 2022",It’s ok,It’s a decent moisturizer I just find that it pills up and flakes off in to my hairline.
"March 23, 2022",Double Repair moisturizer,Not my favorite moisturizer. I will use it occasionally until it's gone but I don't foresee repurchasing it.
"March 17, 2022",A great basic moisturizer,I use this moisturizer twice a day. It hydrates my dry skin and doesn't leave a greasy feeling. I like that it works well with all my other La Roche Posay products. A winner!
"March 15, 2022",Very Moisturizing!,Absolutely love this product. It moisturizes my face and at a fair price!
"March 14, 2022",Love this...and it's affordable!,So happy to find a moisturizer that delivers results without a huge price tag!
"March 13, 2022",Great everyday moisturizer,"This is a great moisturizer for daily use on combination skin. However, it won't help with very dry skin."
"March 13, 2022",I like it,I just started using this about a month ago. I've been pretty loyal to SkinCeuticals for a while now but it's expensive. This seems to be a nice option that's not so pricey. So far so good.
"March 11, 2022",Best moisturizer for sensitive skin,I love this moisturizer for sensitive skin. It hydrates deeply and reduces redness. Great to use in the AM and PM.
"March 11, 2022",Best moisturizer AND affordable too!,I’ve tried so many (read expensive) moisturizers and none have come close to this one. It is affordable and makes me skin feel amazing. 10/10 recommend
"March 08, 2022",Good daily moisturizer.,I have sensitive skin and I love this brand in general. Great basic moisturizer - never had any issues.
"March 04, 2022",Only face moisturizer that I will use,My dermatologist recommended the Toleriane Double Repair Face Moisturizer and I couldn't be happier. I have tried numerous facial moisturizers and this is the first one that feels as if it's not there. Very smooth and velvety. Very easy to put makeup on over.
"March 01, 2022",love this lotion,My favorite lotion to use when my face is dry. It doesn't make me feel oily or breakout like most lotions.
"March 01, 2022",Just Right!,absorbs quickly and lightweight. my teenage daughter has sensitive skin and this is her go-to moisturizer.
"February 28, 2022",La Roche-Posay Toleriane Double Repair Face Moisturize,A very good moisturizer. Makes my skins look healthy and hydrated. I will purchase again.
"February 23, 2022",Face Moisturizer,"I thought this would be just another moisturizer, but my face is so dry, especially in the winter, I thought I would try it. I am so glad I did. I use it on my face and neck a couple times a day. Within a week, my dry face has significantly improved. I will never use another face moisturizer.. seriously."
"February 21, 2022",recommended,helped with skin texture
"February 20, 2022",Early Review,I have been using this for two weeks now and i really love it. I have not had any breakouts or red blotches from it and it absorbs completely. I also feel like I see a difference already as my face seems brightened and feels soft and not dry or oily
"February 18, 2022",This is great stuff!!,"This is a moisturizer I use on my neck because I am so dry there, I have been using it for years now and don't want to be without it."
"February 11, 2022",Loving it,"I have found this moisturizer recently. It is just perfect. A combination of ceramides, niacinamide and prebiotic thermal water that protects and strenghtens my skin barrier. In addition it does not have fragance, making it perfect for sensitive skin."
"February 07, 2022",Great Everyday Lotion,"Great lotion that doesn’t break the bank. Always have on hand with running low on higher end lotions and definitely is comparable. Works well under makeup, too!"
"February 04, 2022",Good find for the price,"I like this moisturizer especially considering the price point. I like that it has anti-aging ingredients, is moisturizing without being heavy or greasy and doesn’t cause breakouts"
"February 02, 2022",Moisturizer fanrastique!,Love this moisturizer! Quickly absorbed! Non-greasy! Very effective!
"February 01, 2022",I like it!,I like using this product at night ONLY and during winter weather. It is very hydrated. My skin feels very protective after applying this cream. This moisturizer does not go well under my foundation because my foundation peels on top of it. Only recommend it for a night only!
"February 01, 2022",Great product,Excellent and very reasonably priced. Great moisturizer
"January 18, 2022",perfect moisturizer,"This very soothing, creamy moisturizer glides on and into the skin without a greasy or pilling finish. It layers perfectly with other products, and has a prolonged effect. The best moisturizer I have used in 40 some years!"
"January 14, 2022",When I don't need sun protection...,"I use this moisturizer; doesn't cause break-outs, and works well under my foundation."
"January 13, 2022",Perfect,I really like this product. Leaves my skin feel dewey fresh. Great price!
"January 07, 2022",Dissapointed,"I had lot of expectation for this product - ingredients and texture seemed great and I thought it would be great as my evening moisturizer. However, there was a lot of pilling and peeling after I put it on. Perhaps it had something to do with using retinol serum first, but I don't have this experience with other moisturizers."
"January 03, 2022",Great price good quantity,"La Roche products are really nice, they have no scent and work great on senstive skin in my opnion. This is a nice sized tube and not greasy"
"January 03, 2022",Daily moisturizer,I use this daily for my morning moisturizer!
"December 30, 2021",Love this product,This product was given to me as a sample from my dermatologist. I was very impressed with how my face felt after using for a few days. I ordered more immediately and have used it daily since then. My skin is more smooth to the touch and I love the bit of tingle it provides when applying.
"December 30, 2021",Nice texture,"This moisturizer is light, no too thick and doesn’t sit on top of my skin."
"December 28, 2021",Excellent basic moisturizer,"I've been using this moisturizer for about a year and I love it. It's a basic moisturizer, bit it has a luxurious feeling to it. Hydrates very well and works well for my combination skin."
"December 28, 2021",LaRoche-Posay,I am very happy with this product. It leaves my skin feeling soft and moisturized all day. A little goes a long way and it can be used as a night cream as well. It’s also a very affordable price.
"December 28, 2021",Great for sensitive skin,My face skin is very sensitive to a lots of chemicals. La Roche-Posay is my choice for facial cream. It moistures my skin but doesn’t irritate it.
"December 17, 2021",Does the job,"Light, non greasy capable moisturizer. Been using for few years. Tried many others always return to this one."
"December 14, 2021",Great value and product,"This is a wonderful daily moisturizer that is not expensive, but works well. It keeps my winter skin well moisturized, and doesn't feel greasy on my skin. It goes on smooth and soaks in quickly. It has become a regular in my skincare routine."
"December 13, 2021",Best moisturizer ever!,"This is my favorite product, it really works! Everything from La Roche-Posay is great!"
"December 11, 2021",Nice moisturizer for combination skin!,"I finally found a great moisturizer that does not clog my pores! Also, I tend to get oily around my eyes and they will start to itch and burn because of the sebum. This moisturizer will act as a barrier for my eyes and somewhat control my sebum!"
"December 07, 2021",Very Serviceable Product,"This is my first go-round with LR-P Toleriane Double Repair Face Moisturizer, and so far I like it very much. When I first started using it I broke out in several areas, but after a few days the breakouts disappeared and stopped altogether. I assume my (sensitive) skin needed to adjust to the unfamiliar ingredients. The only drawback, and this is on me for not reading the label closely enough, is this one doesn't have a sun protection factor. Next time I purchase, I'll look for that SPF on the label. Otherwise I'm very happy with this moisturizer."
"December 06, 2021",Hydrating,So far using as of 2 weeks and am happy with it
"December 05, 2021",So Far....Good....,"Fall/winter months & medical grade skincare & treatments will leave my skin yearning for moisture. I didn't have a daily moisturizer factored into my daily skin regimen usually my Vit. C cream was my moisturizer BUT I did notice my tinted moisturizer, foundation, powder/liquid looked much better on a well moist face especially on area of face that are drier. I chose this brand & did like the ingredients, my face is sensitive & I've had no neg. reaction. The moisturizer is thick, soaks well into skin, not greasy & overall great!!"
"December 04, 2021",Great moisturizer,"With so many serums & treatments being produced for your skin, it is wonderful to have a moisturizer with calming ingredients that is reasonably priced & does its job of moisturizing. This does not ""interfere"" with my Retin-A or my AHA."
"December 04, 2021",Good but Not Great,"The lotion is moisturizing, but not as much as I thought it would be after reading other reviews. Not sure I would purchase again."
"December 01, 2021",Love this as a last step for extra protection and moisture,I have been so impressed with the La Roche brand and this is no exception - happy to add this to my collection for my super sensitive and dry skin - it works well when I apply atop my serum/beauty oil micro emulsion routine.
"November 28, 2021",LaRoch-Posay Toleraine Double Repair Face Moisturizer,"Anything by La Roche-Posay is a good product, but to create such reasonably priced creme using prebiotic thermal water was a genius of a product. I have normal skin which dries out winter time and so I was used layers of potions, lotions to keep it moist. With that moisturizer you don’t need much, your skin absorbs it easily and immediately becomes velvety soft. I also use it on my hands, better than some hand cremes. Highly recommend the product and I would imagine if it’s after a procedure that creme would be a great addition to the routine."
"November 21, 2021",Not suitable for my skin,"I have a very dry and sensitive skin. I decided to try this moisturizer because i really like the hyaluronic acid serum and the gentle cleanser, but this does not moisturizes my skin as much as i need. It also irritates my skin a little."
"November 21, 2021",Amazing,I have very sensitive skin and this brand never fails. Amazing product.
"November 20, 2021",Best affordable moisturize!,Have been using for 5 years. It is the best. Come in non-oily too!
"November 20, 2021",Great Moisturizer,Not greasy and thank goodness no fragrance. Have used for years and will continue to.
"November 17, 2021",Worth every penny,"I was looking for a moisturizer that wasn’t going to break my bank, was made of quality ingredients, and wouldn’t be too heavy. I LOVE this stuff. I made the switch to this and my face and wallet are happy about it! :)"
"November 16, 2021",Good product but not for me,"This moisturizer is silky, moisturizing, and has some great ingredients. Unfortunately, my skin responded negatively to the Niacinamide. I had itchy red bumps on my face. I have very sensitive skin. If you don't react to this type of ingredient, this is a great choice."
"November 14, 2021",Immediate Skin Repair,"Bought after trying a sample. In order to keep my skin oil free and clean, I've been using products that sometimes can be too irritating. LRP Double Repair Face Moisturizer has helped repair my skin almost immediately. It doesn't clog my pores nor feels greasy at all. The price is the cherry on the top!"
"November 13, 2021",Makes my skin silky,I love this moisturizer. So hydrating and makes my skin so soft and silky. I will buy it again for sure.
"November 12, 2021",Great product,"Love the way this moisturizer feels on my skin. It’s so economical, I use it all over after showering."
"November 08, 2021",Recommend this product,Did not clear the rash on my face but has kept it from itching and makes my face feel smooth without being greasy.
"November 08, 2021",Double repair Moisturizer,"Very nice lightweight moisturizer. Doesn't set on top of your skin, feels like it sinks right in. Also great for sensitive skin, no fragrance."
"November 07, 2021",Light. Non Irritating. Suitable for Tropical and Hot climate,The moisture is light and does not irritate. There are no fragrances which I love. It is perfect for hot tropical climates where a heavy moisturizer will be uncomfortable. It is easy to apply. Affordable. Seals well after use.
"November 02, 2021",My new go-to moisturizer,"Instead of spending $$ on an expensive moisturizer, I've prioritized target serums and then was seeking a lightweight soothing moisturizer that I can use for both day/night. I have oily skin that is prone to congestion/acne, so finding one that works with my skin is always a factor. I am on my 3rd tube of the LRP double repair moisturizer and I love it! It's just was I wanted and will be a staple in my routine for now!"
"October 28, 2021",I love it!,"Product is excellent. Creamy, smooth and an excellent moisturizer that is well priced. I seem to like all La-Roche products so far."
"October 26, 2021",La Roche-Posay,"This is a soft, fluid moisturizer that feels great on the skin. They always make great products. No harsh smell."
"October 22, 2021",Double Moisturizer,I’ve been using this product for several years. I use it nightly before applying retinol. It has no fragrance and it is not too heavy. Highly recommend!
"October 13, 2021",Great for skin,This Moisturizer is excellent. Absorbs quickly. Skin is smoother and quenched!!
"October 04, 2021",Absolutely Loving It,"I received my product facial moisturizer and my skin immediately felt so soft and smooth. I have always been a Mary Kay customer, and will definitely be switching over. I can say, I am one happy customer!!!"
"October 03, 2021",Great moisturizer!,I have very sensitive skin and excema on my face. This moisturizer helps calm my skin and hydrate it.
"October 02, 2021",Feels so nice,Very smooth and moisturizing. I’ve purchased this three times. I use it most days but not everyday. Great for when my face feels like it wants a little extra moisture. I can use it day or night.
"September 27, 2021",Amazing daily moisturizer,I have used so many expensive moisturizers in the past and this is by far my favorite. I use Retin A each night which can be drying and this has been so helpful.
"September 26, 2021",Lightweight but moisturizing,Very simple moisturizer that I love. I am repurchasing for the third time.
"September 24, 2021",Great for sensitive and acne prone skin,"My son used this moisturizer while he was on Accutane. As expected, his skin became very dry and peeling while using Accutane. This moisturizer is soothing and effective, absorbs quickly, and little to no scent. There's also a version of this with SPF for daytime use. A great no-nonsense moisturizer that not too light or too heavy."
"September 24, 2021",Great stuff!,Love that this moisturizer has no fragrance or dyes. My skin loves it!
"September 05, 2021",LOVE the way it makes my skin feel,I have been using a different product for several years and tried this on a recommendation from a friend and am so happy that did! Moisturizes without making my face feel greasy.
"September 04, 2021",Great price,The moisturizer is nice. Keeps my skin dewy and moist. Great price for moisturizer.
"August 31, 2021",Great for night time,"This product pills, which doesn't bother me too much at night but makes it not something I reach for in the AM."
"August 23, 2021",I wanted to love this moisturizer,"My dermatologist recommended this moisturizer because I was having some sensitivity problems and she said this one was really mild. I liked the feel of it but after having it on my face for awhile, it didn't sink in but rather stayed on the surface of my skin. When I felt my face, the product kind of ""peeled"" off. Not a fan."
"August 17, 2021",I love it,This was recommended me and I like it.
"August 06, 2021",La Roche-Posay Toleriane Double Repair Face Moisturizer,"This moisturizer really works. Nice texture, absorbs quickly, does not have any smell. Lasts for a long time."
"August 03, 2021",Great Value!,"I love this moisturizer! Works well over my facial serums that I use and provides a good base for my sunscreen. Very gentle, no irritation at all and the price is great for all the excellent ingredients!"
"August 01, 2021",My forever go-to,"I’ve been using this lotion for years (and the SPF version in the mornings), and I love it. Not too aggressive, just a nice consistent moisturizer for a great price."
"July 31, 2021",Disappointed overall with how products applied on skin,"I really wanted to love this product as I have heard so many positive things about it but I have not had any success in getting it to apply without the product pilling on my skin. I have attempted application many different ways but each time It does the same thing. I will keep it and maybe try again during wintertime, hopefully, then I will see different results?"
"July 13, 2021",It's an ok moisturizer,"It's a good moisturizer for sensitive skin, just wasn't moisturizing enough for me"
"July 12, 2021",Awesome!,I love this moisturizer it helps to calm my skin and keep it looking well hydrated.
"July 09, 2021",Great Moisturizer,I love this product! makes your skin feel healthy and helped me with dryness. One of my favorite moisturizers.
"July 07, 2021",Love it!,"I'm becoming a big fan of La Roche-Posay products. I use this and the La Roche-Posay gentle cleanser and my skin looks amazing and feels fantastic. I have dry to dry/combination skin and live in a humid climate. This doesn't make my skin feel tacky or oily, it's just the right amount of hydration without being too heavy. Perfect."
"July 03, 2021","Great product, but a tad too much if you're oily/combo","I continue to buy this moisturizer as I believe it's a good product; however, I have recently determined that I have either combo or oily skin (especially in the summer) and this level of moisturizer leave me feeling greasy. This product is likely best for those with dry skin, which is why I keep my rating as 5 stars (because I know this and continue to buy it anyways). I'll likely save it for when temperatures drop, and it makes more sense to use it more frequently."
"June 19, 2021",Feels good,It feels good on my face but I am still having lots of dryness?
"June 14, 2021",Love the moisture of my face.,"It is the last cream in my morning, it adds the moisture my dry face needs. I only wish it had a sun spn. That would make it even better."
"June 11, 2021",So moisturizing!,So I have been using this moisturizer for a few wks. It definitely makes my skin feel hydrated and smooth. No dry flakey spots anymore!
"June 10, 2021",Good PM Moisturizing Lotion,"I have mature, sensitive and oily skin and needed a night lotion that wasn't too heavy or too light or too expensive. This lotion is a tad thick but it hasn't made my skin break out and I love that it's oil-free. Overall, I'm happy with this product and works great at night."
"June 07, 2021","Good for sensitive and dry skin, but pills","This is a great facial moisturizer for sensitive, dry skin. I am sensitive to many ingredients and prefer simple, clean formulas that are hydrating without aggravating my occasional acne or dermatitis and work well with retinol and serums. I used this for 3 weeks to see how it faired against my preferred products. It keeps my dry skin hydrated for the entire day, despite air conditioning and fans, and hasn't caused acne. The only reason I might not repurchase is that I have to apply 2-3 layers, and it pills even after waiting 3-5 minutes between applications. It sits nicely under sunscreen and makeup, though, and I can apply a few drops of water to blend in any pilling. The other reason it's not my favorite is that I can feel it sitting on top of my skin, which I've noticed is more common with some less expensive products. So, it's great because it doesn't cause acne or irritation, but it's not the most amazing moisturizer because it pills if you apply more than one layer."
"June 04, 2021",Silky smooth,Love this product. Feels so soft once applied. Doesn’t feel sticky or heavy. I have rosacea and my skin has not reacted using this moisturizer.
"June 03, 2021",Excellent moisturizer!,"I love this moisturizer. It works great on my sensitive, dry, acne prone skin. Not too heavy in the summer months and just right in the winter. My go to moisturizer."
"June 03, 2021",Fantastic for Sensitive Skin,I have very sensitive skin and this moisturizer agrees with me and does the trick! My only gripe is it tends to pill/ball up on my face after application.
"June 01, 2021",Love this lotion,Goes on easy and light. Very gentle on my sensitive skin.
"May 31, 2021",My husband’s fav,He uses this product after I introduced it to him about few years ago.
"May 26, 2021",Just ordered 2 after trying...,"I love this LaRoche Posay moisturizer because my hyper-sensitive skin is not irritated by it at all. Which seems like a miracle. Bought a tube while away from home and am ordered several more today from lovelyskin.com. I've had eczema and cheilitis and so am quite cautious--glad to find this one works for me. Also ordered some Toleriane with sunscreen here recently and am hopeful, so far. Will review that later!"
"May 22, 2021",Feels like silk,First time using this... I love it... think I will order another 1 so I'm stocked up... Loving it!
"May 21, 2021",Effective,It works. My skin is sooo soft and moisturized. I'm glad I found it. Now is my staple.
"May 14, 2021",Great go to moisturizer,"I love that this moisturizer is oil-free and good for sensitive skin. It is light, affordable, and comes in a generous size. Great for my post-Accutane skin routine."
"May 11, 2021",Go to day & night moisturizer,"I use this moisturizer day & night. It is lightweight, but gets the job done unlike some other lightweight moisturizers that just don't hydrate enough. I like how it absorbs in well and is also not oily. It has become my go to."
"May 09, 2021",Excellent moisturizer,"I love this moisturizer! It's fragrance-free and gentle, and I love that it contains ceramides and niacinamide. It's light yet provides enough moisture alongside my nighttime retinoid. The price point is also fantastic."
"May 03, 2021",Pleasant surprise,"I tried this product based on the ingredients - I love niacinamidr - and the absence of parabens. What a pleasant surprise! It is like giving your skin a drink of water that lasts!! The price is almost unbelievable for such a quality product. This is my new moisturizer for daytime after serums. I am buying it for my 27 year old daughter, too, who does not like heavy or greasy moisturizers. Perfect."
"April 27, 2021",Feels amazing,"I love this moisturizer. It makes my face so smooth and it doesn’t burn at all, even when my skin is irritated from Retin-A."
"April 25, 2021",I loved the ceramides,For people with dry skin it works very well. smo the glow that leaves on my face
"April 22, 2021",Every day use,Good for every day use. Not greasy. Soaks right in. No smell. A good go to light moisturizer.
"April 22, 2021",Great moisturizer,"I was hesitant to buy this product because I only use Obagi however, love this moisturizer. Will buy it again."
"April 19, 2021",Thick,Recommended by derm to use on top of retinoid. Daughter seem to like it. Will buy again.
"April 19, 2021",Eh,"This creams pills easily, either alone or with serums. It feels like it sits on skin without fully absorbing. I like this brand but I probably will not buy it again."
"April 17, 2021",Great product,"I have been using this for a couple of months, both day and night. I have sensitive skin and this moisturizer works very well."
"April 12, 2021",Sensitive Skin Must Have!,"This is a great, no irritation causing moisturizer. It feels light on the skin but provides decent moisture, even during a mid-West winter. I like a more emollient moisturizer at night, so I keep this as my third step for day use. I also appreciate that there is NO scent or masking scents added!!"
"April 11, 2021",Awesome basic moisturizer,This is a wonderful basic moisturizer that absorbs quickly and keeps my face hydrated all day.
"April 11, 2021",Live it!!,"It’s my go to moisturizer, I have combination skin and this works perfect for me."
"April 10, 2021",Wonderful soothing product,I bought this in my quest to help my new rosacea. I am very pleased with this cream. A small amount soothes and calms my skin. I would highly recommend this to anyone who is looking for a gentle cream for sensitive skin.
"April 10, 2021",Love it,Lightweight and provides good moisture. Love it.
"April 10, 2021",La Rocha-PosayToleriane Moisturizer,Love this moisturizer! It’s non-greasy and leaves my face feeling hydrated. One of the best moisturizer I used. It was one of the 4 products my dermatologist recommended for me to use and I like the La Roche the best.
"April 08, 2021","Super simple, good value","This works for me in the summer time or when I need a simple, light texture. I keep it around because it gets the job done and is inexpensive."
"March 30, 2021",Nice product,"The moisturizer has a nice consistency with minimal scent which I prefer. I use this at night, so far so good. I like the lotion and would order again."
"March 28, 2021",Wonderful,Use this as a blend with retain A cream
"March 06, 2021",Amazing,"Toleriane double repair moisturizer it’s amazing product for my type of oily and sensitive skin before I find this product everything breaks me out and stinging my skin but with this moisturizer my skin feel fresh, soft and moist I love it, I’m using in my eye area and helps me with my fine lines too what else I want I will still ordering from LovelySkin I always get a discount which is good thing."
"March 04, 2021",Love it,"My skin type is acne-prone sensitive skin, hoping to find a great moisturizer to fix skin barrier. This product has been doing an incredible job keeping my skin moist and I am in love with it! recommend for people who have the same skin type as I do."
"February 24, 2021",Best moisturizer ever,"A light moisturizer, easy to mix with other serums or sunscreen."
"February 22, 2021",Soothing moisture without being heavy,"This is my go-to for most of the year. On really dry winter days I may layer it in with something else, but this handles most of my needs AND doesn't get greasy and disgusting in the God-awful Georgia summer humidity :)"
"February 22, 2021",Great for Night Time,I use this as part of my night time routine. I love that it has ceramides and niacinamide in it. I have acne prone skin and it did not irritate my skin but helped it tremendously. I like that it comes in a fairly big bottle and it lasted my quite a long time.
"February 18, 2021",Use in the a.m. and p.m.,This spreads so nicely alone or with a serum. I could not decided to use it in the morning or evening so I use it both in the a.m. and the p.m. Not too thick for day use and yet moisturizing at night.
"February 13, 2021",New Fav!,"LRP products have been so good to my skin in conjunction with prescription tretinoin. This moisturizer is hydrating, gentle, and a great price."
"February 05, 2021",Great!,"Great moisturizer, it’s very hydrating and not greasy. My new favorite face lotion to use under makeup."
"February 05, 2021",Good moisturizer,I have the sunscreen version of this which I really like and decided to buy this one for night time. Good for the dry winter months.
"February 02, 2021",Great moisturizer,This is my go-to moisturizer. I love that it makes my skin feel good without being too heavy or too lightweight.
"February 01, 2021",Nice Moisturizer for the price,"This product was recommended to me by my dermatologist. It goes on smooth and easy, face feels moisturized but not not weighed down and greasy. I have it in both the regular and with SPF 30...I use one for days I'll just be inside and don't need the sun protection and the other for when I'll be out and about in my car, short walk, etc.. Love them both equally."
"February 01, 2021",Lightweight and soothing,Sooths irritated or dry skin. Also great to use over retinol products.
"January 28, 2021",LaRoche-Posay moisturizer,Really nice goes on smooth absorbs well. Hydrates aging skin.
"January 28, 2021","Hydrating, lightweight, non-greasy moisturizer!","Overall, it is very lightweight, hydrating, and melts into your skin without feeling oily or greasy. I love to use this moisturizer as my first step before I apply tretinoin during the winter, it really helps create a good barrier and reduce tretinoin dermatitis. For reference, I have combination skin that is on the dry side during the winter due to tretinoin. I recommend others give it a try if they're searching for a nice, everyday moisturizer, especially for the winter months!"
"January 23, 2021",Repaired my sensitive skin,"Unfortunately, I became sensitive to another product I was using. I researched to see which products out there would be good for mature, sensitive, dry skin. This came up for all three. I've been using it for two weeks now, and I love how it has repaired my skin from the other product while leaving my face so soft. I bought the toleriane eye cream and night cream as well and so far, I wouldn't change a thing. Goes on beautifully and is not greasy."
"January 22, 2021",Moisturizer,Good moisturizer if you don’t wear makeup because it peels off .
"January 21, 2021",Good with a Serum,I would give it 4 *s but I prefer their Lipikar Intense Moisturizing Cream (for Body and Face) for my evening moisturizer. Lipikar is a bit too much for daytime use but it leaves my face looking great in the morning when used at night. This Touleriane is good used for daytime since it is more absorbent and offers a better make-up base. My skin is normal to dry.
"January 19, 2021",Finally found a non-irritating moisturizer!,"I have recently been struggling with acne, but living in the Midwest during the wintertime coupled with intense acne-fighting products left my skin SO very dry. I've used countless other beauty staple moisturizers out there, but they were either not heavy enough or too greasy/worsened my acne. This is the first product I've tried that is non-clogging, non-greasy, but super moisturizing! My derm recommended this line in general but specifically this product and I'm so grateful she did. Will definitely be re-purchasing."
"January 19, 2021",Moisturizing!,This works well during the winter months and adds moisture. I use it as a a nighttime moisturizer as it is gentle on my sensitive skin and keeps dryness at bay.
"January 12, 2021",Toleriane Double Repair Face Moisturizer,My husband has super sensitive skin. This is perfect for him. He loves it!
"December 31, 2020",This is very hydrating,I would recommend this to dry skin. I have dry acne prone skin and this is perfect for that. I purchased more recently !
"December 31, 2020",Useful moisturizer,I love this moisturizer especially for its active ingredients which are very effective.
"December 29, 2020",Exactly what I was looking for,"I needed a non-greasy, fragrance free moisturizer to keep handy in my work-from-home space (my apartment tends to be dry). After reading a bunch of reviews here and elsewhere, I decided to give this a try since it's a brand I already use and trust. It does the trick and at a great price!"
"December 29, 2020",Everyday go to moisturizer,This product really penetrate. Not greasy at all. Great for use under makeup. Feels like it is working on your skin continuously. Has many great benefits.
"December 28, 2020",Effective Light Moisturizer,"I use this in the morning when my skin requires less moisture. While I'm not as impressed as with some other products from this brand, I plan to repurchase as it provides good value for the price."
"December 25, 2020",Perfect everyday moisturizer.,"This moisturizer is great to have around. I have combo skin that is break out prone and never have an issue using this moisturizer. It's great for layering with other products or use on it's own. It has no fragrance. I do opt for something a little more hydrating for dry winter months, but still go back to this in more mild weather."
"December 22, 2020",Love this product!,"I am a huge LRP fan, using their SPFs and well as cleansers and moisturizers. I have mature dry skin and the Toleraine line is exceptional. Great prices here, too."
"November 28, 2020",OK moisturizer,Although it went on smooth it didn't really moisturize my face very well and it left white streaks on my face.
"November 28, 2020",New my moisturizers for night time.,This is perfect for the coming dry season. It is non-greasy and moisturizes overnight. Of course there is no scent.
"November 18, 2020",La Roche-Posay Toleraine Double Repair Moisturizer,"I am 60 years old and am very satisfied with LaRoche Posay Toleraine double repair moisturizer. I use it over their hyaluronic acid serum and it is just right on my skin, not too greasy, not too dry. My wrinkles are softer without being plumped up with formaldehyde as dept. store products will do to your skin."
"November 09, 2020",Great product,Excellent for all day moisture without looking greasy. Feels great.
"November 05, 2020",Unfortunately,I love this line but it peels on my face and try on my body its the same way!
"November 04, 2020",Great hydration,"At the recommendation of my dermatologist, I tried this moisturizer as a replacement for a much more expensive product. After a month of use, I am very happy with the amount of hydration it provides. Feels great under makeup."
"October 31, 2020",Excellent Moisturizer!,"I use this Toleriane Double Repair Moisturizer during the day. It is a wonderful moisturizer and keeps the moisture in my skin all day. At night, I use the La Roche-Posay Redermic C which helps with fine lines, hyperpigmentation, and wrinkles. My skin is super sensitive, so if I need something for an eczema or rosacea flare up, I switch to the Toleriane Ultra Face Moisturizer for a day or two. My skin has never looked better, thanks all to La Roche-Posay."
"October 17, 2020",Great moisturizer for the price,I use twice a day after cleansing and keeps my face from drying out. Not greasy and leaves my face feeling fresh.
"October 16, 2020",My go to moisturizer,I love this moisturizer. I even took it to my aesthetician to make sure she thought it was good for me and she gave me the thumbs up. It’s a great product at an inexpensive price.
"October 03, 2020",It's ok,Wasn't as moisturizing as I had hoped for. Makeup doesn't go on smoothly. Probably will just use at night.
"October 03, 2020",Great Moisturizer,My teenage daughters use this over their prescription retinol. It is effective at keeping their skin from drying out.
"September 27, 2020",Love this!,"At first I was hesitating to buy this because I prefer gel type moisturizers (combo skin here) but this one shut my mouth. I apply it on damp skin at night cause I think it´s a bit too moisturizing to use at day, and it sinks instantly leaving my face smooth and hydrated and I wake up the next day looking not shiny at all as I used to."
"September 18, 2020",Best I've ever tried!,"Recommended by my dermatologist. It is very moisturizing without being greasy (which is important because I am an athlete). I have seen other reviewers saying it pills- and it will ONLY do that if you apply way TOO much product. And a little goes a long way so there actually is no reason to overapply in the first place. Also, added bonus is it has already made fine lines go away. Overall my skin is in better condition than it has ever been using this product. Highly recommend."
"September 17, 2020",Basic Face Lotion,"I was a little disappointed in this moisturizer, considering the La Roche Posay Toleraine line is one of my favorites for sensitive skin. It doesn't break me out, but it doesn't soak into my skin very well and pills up under makeup."
"September 12, 2020",Great moisturizer,"I use retinol and this keeps me moisturized while soothing my redness, I love it."
"August 29, 2020",My favorite,I use it day and night and I love it. It leaves my skin fresh and it's nor greasy or matte. Just perfect for my combination skin!
"August 27, 2020",Made my face red and sensitive,"I stopped using this moisturizer after one week because my face became red and sensitive. I am not sure which ingredient(s) caused sensitivity (My skin was fine with other niacinamide cream such as Cerave). Also, I think it is not moisturizing enough for normal skin."
"August 13, 2020",doctor's recommendation,worked very well for my skin
"August 07, 2020",Nice product,"I am new to this line of products. I've been using the cleanser and day moisturizer along with the Toleriane Double Repair moisturizer at night. This product is thicker than the day moisturizer which is nice. It disappears into my skin quickly. I break-out easily, especially when I introduce a new product. But I have not had any difficulties with this, or any of the La Roche-Posay Toleriane products I've been using. I would recommend for those of us on a budget."
"August 05, 2020",Another great product,I’ve been trying various products from La-Roche and I really like this moisturizer. It’s no greasy and so far hasn’t caused any breakouts. Been using a few weeks at bedtime and will continue to use it. So happy.
"August 02, 2020",Double Repair Face Moisturizer,"This is a pretty thick cream, I've been alternating this with La Roche-Posay Ultra Night Cream to help with dryness due to retinol products, and it does an amazing job."
"August 01, 2020",powerful ingredients,"I love the formula and the feel of this moisturizer, and a big fan of LRP. By itself, it feels great on the skin and works well for my dry skin in warmer months. I don't like that this is temperamental about layering - it pills pretty easily over serums."
"July 31, 2020",Love!,This moisturizer! So hydrating but no clogs... makes my skin supple and radiant.
"July 24, 2020",Great for sensitive skin!,I have been looking for a moisturizer that doesn’t make me break out. I have tried several - from the drug store brands to the expensive ones- so far this has been the best for me!
